"date";"mesocosm";"taxon_cyto";"cyto"
"2015_10_21";"26";"nanophytoplankton";0.42525
"2015_10_21";"14";"nanophytoplankton";2.436
"2015_10_21";"3";"nanophytoplankton";2.1105
"2015_10_21";"24";"nanophytoplankton";2.9925
"2015_10_21";"25";"nanophytoplankton";2.898
"2015_10_21";"29";"nanophytoplankton";2.7615
"2015_10_21";"19";"nanophytoplankton";2.667
"2015_10_21";"2";"nanophytoplankton";0.546
"2015_10_21";"6";"nanophytoplankton";4.6935
"2015_10_21";"35";"nanophytoplankton";4.284
"2015_10_21";"20";"nanophytoplankton";2.184
"2015_10_21";"17";"nanophytoplankton";1.47
"2015_10_21";"8";"nanophytoplankton";1.74825
"2015_10_21";"33";"nanophytoplankton";1.134
"2015_10_21";"30";"nanophytoplankton";3.129
"2015_10_21";"5";"nanophytoplankton";1.575
"2015_10_21";"9";"nanophytoplankton";2.814
"2015_10_21";"32";"nanophytoplankton";0.63
"2015_10_21";"31";"nanophytoplankton";3.3495
"2015_10_21";"10";"nanophytoplankton";1.80075
"2015_10_21";"4";"nanophytoplankton";3.4545
"2015_10_21";"21";"nanophytoplankton";4.347
"2015_10_21";"36";"nanophytoplankton";2.814
"2015_10_21";"7";"nanophytoplankton";3.0975
"2015_10_21";"16";"nanophytoplankton";2.247
"2015_08_07";"28";"cyanobacteria";6.72
"2015_08_07";"9";"cyanobacteria";8.673
"2015_08_07";"7";"cyanobacteria";4.179
"2015_08_07";"1";"cyanobacteria";5.838
"2015_08_07";"19";"cyanobacteria";12.348
"2015_08_07";"31";"cyanobacteria";5.964
"2015_08_07";"36";"cyanobacteria";5.901
"2015_08_07";"29";"cyanobacteria";6.153
"2015_08_07";"32";"cyanobacteria";7.077
"2015_08_07";"11";"cyanobacteria";3.822
"2015_08_07";"2";"cyanobacteria";8.379
"2015_08_07";"20";"cyanobacteria";7.791
"2015_08_07";"27";"cyanobacteria";9.828
"2015_08_07";"16";"cyanobacteria";17.409
"2015_08_07";"26";"cyanobacteria";14.259
"2015_08_07";"12";"cyanobacteria";9.429
"2015_08_07";"8";"cyanobacteria";4.242
"2015_08_07";"14";"cyanobacteria";8.61
"2015_08_07";"17";"cyanobacteria";8.715
"2015_08_07";"21";"cyanobacteria";16.464
"2015_08_07";"18";"cyanobacteria";10.962
"2015_08_07";"13";"cyanobacteria";7.224
"2015_08_07";"30";"cyanobacteria";6.069
"2015_08_07";"5";"cyanobacteria";NA
"2015_08_07";"15";"cyanobacteria";14.7
"2015_08_07";"25";"cyanobacteria";17.766
"2015_08_07";"10";"cyanobacteria";12.348
"2015_08_07";"24";"cyanobacteria";15.078
"2015_08_07";"6";"cyanobacteria";8.967
"2015_08_07";"4";"cyanobacteria";NA
"2015_08_07";"33";"cyanobacteria";7.602
"2015_08_07";"22";"cyanobacteria";10.374
"2015_08_07";"23";"cyanobacteria";15.33
"2015_08_07";"34";"cyanobacteria";13.062
"2015_08_07";"35";"cyanobacteria";7.539
"2015_08_07";"3";"cyanobacteria";NA
"2015_09_01";"32";"cyanobacteria";3.7065
"2015_09_01";"27";"cyanobacteria";4.179
"2015_09_01";"33";"cyanobacteria";7.623
"2015_09_01";"1";"cyanobacteria";7.728
"2015_09_01";"4";"cyanobacteria";10.311
"2015_09_01";"34";"cyanobacteria";11.277
"2015_09_01";"9";"cyanobacteria";11.4765
"2015_09_01";"20";"cyanobacteria";4.893
"2015_09_01";"3";"cyanobacteria";6.573
"2015_09_01";"24";"cyanobacteria";9.786
"2015_09_01";"28";"cyanobacteria";15.15
"2015_09_01";"15";"cyanobacteria";9.6
"2015_09_01";"5";"cyanobacteria";7.056
"2015_09_01";"19";"cyanobacteria";16.38
"2015_09_01";"18";"cyanobacteria";4.7145
"2015_09_01";"10";"cyanobacteria";6.495
"2015_09_01";"25";"cyanobacteria";6.8565
"2015_09_01";"35";"cyanobacteria";9.807
"2015_09_01";"7";"cyanobacteria";7.575
"2015_09_01";"12";"cyanobacteria";10.542
"2015_09_01";"13";"cyanobacteria";10.248
"2015_09_01";"17";"cyanobacteria";4.284
"2015_09_01";"14";"cyanobacteria";8.715
"2015_09_01";"21";"cyanobacteria";11.697
"2015_09_01";"6";"cyanobacteria";8.106
"2015_09_01";"11";"cyanobacteria";8.715
"2015_09_01";"22";"cyanobacteria";15.765
"2015_09_01";"29";"cyanobacteria";10.941
"2015_09_01";"31";"cyanobacteria";11.835
"2015_09_01";"30";"cyanobacteria";6.8985
"2015_09_01";"23";"cyanobacteria";9.009
"2015_09_01";"26";"cyanobacteria";10.416
"2015_09_01";"36";"cyanobacteria";8.652
"2015_09_01";"8";"cyanobacteria";5.67
"2015_09_01";"2";"cyanobacteria";5.985
"2015_09_01";"16";"cyanobacteria";5.208
"2015_09_24";"4";"cyanobacteria";5.25
"2015_09_24";"19";"cyanobacteria";20.09
"2015_09_24";"13";"cyanobacteria";2.506875
"2015_09_24";"31";"cyanobacteria";3.28125
"2015_09_24";"23";"cyanobacteria";6.762
"2015_09_24";"22";"cyanobacteria";3.688125
"2015_09_24";"12";"cyanobacteria";13.041
"2015_09_24";"28";"cyanobacteria";3.696
"2015_09_24";"3";"cyanobacteria";3.15
"2015_09_24";"10";"cyanobacteria";2.7825
"2015_09_24";"30";"cyanobacteria";7.392
"2015_09_24";"20";"cyanobacteria";4.368
"2015_09_24";"2";"cyanobacteria";5.019
"2015_09_24";"1";"cyanobacteria";9.072
"2015_09_24";"11";"cyanobacteria";6.654375
"2015_09_24";"32";"cyanobacteria";3.3285
"2015_09_24";"21";"cyanobacteria";12.012
"2015_09_24";"29";"cyanobacteria";6.825
"2015_09_24";"26";"cyanobacteria";6.321
"2015_09_24";"8";"cyanobacteria";3.2025
"2015_09_24";"25";"cyanobacteria";4.0845
"2015_09_24";"7";"cyanobacteria";3.738
"2015_09_24";"34";"cyanobacteria";6.111
"2015_09_24";"27";"cyanobacteria";6.975
"2015_09_24";"6";"cyanobacteria";4.455
"2015_09_24";"24";"cyanobacteria";3.8955
"2015_09_24";"33";"cyanobacteria";3.96
"2015_09_24";"5";"cyanobacteria";5.25
"2015_09_24";"14";"cyanobacteria";7.938
"2015_09_24";"15";"cyanobacteria";4.893
"2015_09_24";"17";"cyanobacteria";3.801
"2015_09_24";"16";"cyanobacteria";2.7195
"2015_09_24";"9";"cyanobacteria";3.423
"2015_09_24";"36";"cyanobacteria";5.901
"2015_09_24";"18";"cyanobacteria";11.634
"2015_09_24";"35";"cyanobacteria";80.367
"2015_10_21";"27";"cyanobacteria";29.6205
"2015_10_21";"22";"cyanobacteria";1.9884375
"2015_10_21";"11";"cyanobacteria";2.9505
"2015_10_21";"13";"cyanobacteria";2.562
"2015_10_21";"12";"cyanobacteria";5.208
"2015_10_21";"18";"cyanobacteria";9.513
"2015_10_21";"34";"cyanobacteria";11.34
"2015_10_21";"28";"cyanobacteria";3.213
"2015_10_21";"15";"cyanobacteria";15.246
"2015_10_21";"23";"cyanobacteria";8.5575
"2015_10_21";"1";"cyanobacteria";12.117
"2015_10_21";"26";"cyanobacteria";3.9585
"2015_10_21";"14";"cyanobacteria";16.254
"2015_10_21";"3";"cyanobacteria";2.9925
"2015_10_21";"24";"cyanobacteria";2.88225
"2015_10_21";"25";"cyanobacteria";3.32325
"2015_10_21";"29";"cyanobacteria";4.9665
"2015_10_21";"19";"cyanobacteria";10.164
"2015_10_21";"2";"cyanobacteria";4.305
"2015_10_21";"6";"cyanobacteria";3.9585
"2015_10_21";"35";"cyanobacteria";14.301
"2015_10_21";"20";"cyanobacteria";8.694
"2015_10_21";"17";"cyanobacteria";1.9845
"2015_10_21";"8";"cyanobacteria";2.26275
"2015_10_21";"33";"cyanobacteria";4.935
"2015_10_21";"30";"cyanobacteria";5.544
"2015_10_21";"5";"cyanobacteria";5.271
"2015_10_21";"9";"cyanobacteria";2.94525
"2015_10_21";"32";"cyanobacteria";2.1385
"2015_10_21";"31";"cyanobacteria";3.5385
"2015_10_21";"10";"cyanobacteria";2.64075
"2015_10_21";"4";"cyanobacteria";5.9745
"2015_10_21";"21";"cyanobacteria";14.28
"2015_10_21";"36";"cyanobacteria";1.8795
"2015_10_21";"7";"cyanobacteria";5.439
"2015_10_21";"16";"cyanobacteria";3.7275
"2015_08_07";"28";"bacteria";2657.613
"2015_08_07";"9";"bacteria";4416.45225
"2015_08_07";"7";"bacteria";1470.9135
"2015_08_07";"1";"bacteria";1173.44325
"2015_08_07";"19";"bacteria";6001.89975
"2015_08_07";"31";"bacteria";4520.9115
"2015_08_07";"36";"bacteria";3496.4685
"2015_08_07";"29";"bacteria";3674.6325
"2015_08_07";"32";"bacteria";2228.1105
"2015_08_07";"11";"bacteria";918.393
"2015_08_07";"2";"bacteria";1114.232
"2015_08_07";"20";"bacteria";1128.0185
"2015_08_07";"27";"bacteria";3002.80575
"2015_08_07";"16";"bacteria";692.153
"2015_08_07";"26";"bacteria";919.4535
"2015_08_07";"12";"bacteria";6503.51625
"2015_08_07";"8";"bacteria";1591.1035
"2015_08_07";"14";"bacteria";535.199
"2015_08_07";"17";"bacteria";536.613
"2015_08_07";"21";"bacteria";5230.386
"2015_08_07";"18";"bacteria";1292.7495
"2015_08_07";"13";"bacteria";591.22875
"2015_08_07";"30";"bacteria";3450.33675
"2015_08_07";"5";"bacteria";1157.53575
"2015_08_07";"15";"bacteria";900.89475
"2015_08_07";"25";"bacteria";3285.429
"2015_08_07";"10";"bacteria";4707.02925
"2015_08_07";"24";"bacteria";3278.53575
"2015_08_07";"6";"bacteria";601.3035
"2015_08_07";"4";"bacteria";6914.46
"2015_08_07";"33";"bacteria";493.8395
"2015_08_07";"22";"bacteria";3297.0945
"2015_08_07";"23";"bacteria";743.94075
"2015_08_07";"34";"bacteria";5877.82125
"2015_08_07";"35";"bacteria";1723.84275
"2015_08_07";"3";"bacteria";1892.46225
"2015_09_01";"32";"bacteria";1778.4585
"2015_09_01";"27";"bacteria";1867.01025
"2015_09_01";"33";"bacteria";2488.46325
"2015_09_01";"1";"bacteria";2076.98925
"2015_09_01";"4";"bacteria";1872.31275
"2015_09_01";"34";"bacteria";2784.34275
"2015_09_01";"9";"bacteria";1537.19475
"2015_09_01";"20";"bacteria";1913.142
"2015_09_01";"3";"bacteria";1008.5355
"2015_09_01";"24";"bacteria";1564.76775
"2015_09_01";"28";"bacteria";1122.009
"2015_09_01";"15";"bacteria";2073.2775
"2015_09_01";"5";"bacteria";2060.5515
"2015_09_01";"19";"bacteria";1448.643
"2015_09_01";"18";"bacteria";1117.767
"2015_09_01";"10";"bacteria";2872.36425
"2015_09_01";"25";"bacteria";1601.355
"2015_09_01";"35";"bacteria";1431.675
"2015_09_01";"7";"bacteria";2185.16025
"2015_09_01";"12";"bacteria";967.70625
"2015_09_01";"13";"bacteria";2510.2035
"2015_09_01";"17";"bacteria";1082.7705
"2015_09_01";"14";"bacteria";1694.679
"2015_09_01";"21";"bacteria";1946.0175
"2015_09_01";"6";"bacteria";4812.549
"2015_09_01";"11";"bacteria";1892.9925
"2015_09_01";"22";"bacteria";1618.323
"2015_09_01";"29";"bacteria";1878.67575
"2015_09_01";"31";"bacteria";1580.145
"2015_09_01";"30";"bacteria";2789.115
"2015_09_01";"23";"bacteria";2707.4565
"2015_09_01";"26";"bacteria";1874.43375
"2015_09_01";"36";"bacteria";2333.1
"2015_09_01";"8";"bacteria";2794.4175
"2015_09_01";"2";"bacteria";1889.28075
"2015_09_01";"16";"bacteria";1375.4685
"2015_09_24";"4";"bacteria";1634.2305
"2015_09_24";"19";"bacteria";3353.6545
"2015_09_24";"13";"bacteria";4227.5065
"2015_09_24";"31";"bacteria";331.05275
"2015_09_24";"23";"bacteria";1164.7825
"2015_09_24";"22";"bacteria";708.414
"2015_09_24";"12";"bacteria";1861.1775
"2015_09_24";"28";"bacteria";181.87575
"2015_09_24";"3";"bacteria";1165.843
"2015_09_24";"10";"bacteria";1294.1635
"2015_09_24";"30";"bacteria";2259.572
"2015_09_24";"20";"bacteria";2464.602
"2015_09_24";"2";"bacteria";1822.2925
"2015_09_24";"1";"bacteria";3063.0775
"2015_09_24";"11";"bacteria";1913.142
"2015_09_24";"32";"bacteria";2733.969
"2015_09_24";"21";"bacteria";2643.1195
"2015_09_24";"29";"bacteria";2280.782
"2015_09_24";"26";"bacteria";1869.6615
"2015_09_24";"8";"bacteria";1552.2185
"2015_09_24";"25";"bacteria";1200.1325
"2015_09_24";"7";"bacteria";682.255
"2015_09_24";"34";"bacteria";939.2495
"2015_09_24";"27";"bacteria";2564.996
"2015_09_24";"6";"bacteria";1142.8655
"2015_09_24";"24";"bacteria";424.5535
"2015_09_24";"33";"bacteria";2222.101
"2015_09_24";"5";"bacteria";2922.3845
"2015_09_24";"14";"bacteria";2833.656
"2015_09_24";"15";"bacteria";2053.128
"2015_09_24";"17";"bacteria";2520.455
"2015_09_24";"16";"bacteria";314.9685
"2015_09_24";"9";"bacteria";1736.392
